"vernacularName";"scientificName";"individualCount";"longitudeDecimal";"latitudeDecimal";"eventDate";"year"
"Common Chiffchaff";"Phylloscopus collybita";1;22.57740808;53.4902781;2010-04-29;2010
"Common orange lichen";"Xanthoria parietina";1;22.5755959;53.49070842;2010-04-29;2010
"Creeping Cinquefoil";"Potentilla reptans";1;22.57250608;53.49166077;2010-04-29;2010
"Stairstep moss";"Hylocomium splendens";1;22.57022625;53.4917857;2010-04-29;2010
"Deeproot clubmoss";"Diphasiastrum tristachyum";1;22.57;53.49;2010-04-29;2010
"Broom fork-moss";"Dicranum scoparium";1;22.57427377;53.48710285;2010-04-29;2010
"Red-stemmed feather moss";"Pleurozium schreberi";1;22.57423083;53.48709418;2010-04-29;2010
"";"Grimmia pulvinata";1;22.58635945;53.47952032;2010-04-29;2010
"Common Chiffchaff";"Phylloscopus collybita";1;22.58815167;53.47556592;2010-04-29;2010
"Northern Raven";"Corvus corax";2;22.58893738;53.4749487;2010-04-29;2010
"Common Crane";"Grus grus";2;22.59174653;53.4711494;2010-04-29;2010
"Common Crane";"Grus grus";1;22.59103513;53.4703986;2010-04-29;2010
"White Stork";"Ciconia ciconia";2;22.59102297;53.47037415;2010-04-29;2010
"Common Chiffchaff";"Phylloscopus collybita";1;22.62263272;53.4816258;2010-04-28;2010
"Elk";"Alces alces";3;22.62157227;53.48110557;2010-04-28;2010
"Green-veined White";"Pieris napi";1;22.62221222;53.48107498;2010-04-28;2010
"Dotted bush lichen";"Ramalina farinacea";1;22.623105;53.48193575;2010-04-28;2010
"Edible Frog";"Pelophylax kl. esculentus";1;22.62142007;53.45430608;2010-04-28;2010
"";"Pseudoscleropodium purum";1;22.62171475;53.45425617;2010-04-28;2010
"Fire moss";"Ceratodon purpureus";1;22.62183338;53.45421088;2010-04-28;2010
"";"Rhytidiadelphus squarrosus";1;22.62186427;53.45422172;2010-04-28;2010
"Red-stemmed feather moss";"Pleurozium schreberi";1;22.62158713;53.45436362;2010-04-28;2010
"Stairstep moss";"Hylocomium splendens";1;22.62158692;53.45436348;2010-04-28;2010
"Broom fork-moss";"Dicranum scoparium";1;22.62150395;53.45427148;2010-04-28;2010
"Common Chiffchaff";"Phylloscopus collybita";1;22.62048708;53.4543484;2010-04-28;2010
"Delicate clad lichen";"Cladonia ciliata";1;22.61982323;53.45445697;2010-04-28;2010
"Slender beaked moss";"Kindbergia praelonga";1;22.61470018;53.45551165;2010-04-28;2010
"Stag's-horn Clubmoss";"Lycopodium clavatum";1;22.61;53.45;2010-04-28;2010
"Northern Raven";"Corvus corax";1;22.61369922;53.45877507;2010-04-28;2010
"True Iceland lichen";"Cetraria islandica";1;22.61;53.45;2010-04-28;2010
"";"Orthotrichum diaphanum";1;22.6112315;53.45735238;2010-04-28;2010
"";"Tortula muralis";1;22.61124635;53.45734592;2010-04-28;2010
"";"Grimmia pulvinata";1;22.61124628;53.45734623;2010-04-28;2010
"Common Chiffchaff";"Phylloscopus collybita";1;22.60835175;53.4577596;2010-04-28;2010
"";"Rhynchostegium confertum";1;22.60697338;53.45834052;2010-04-28;2010
"Eurasian Hoopoe";"Upupa epops";1;22.60697903;53.45840505;2010-04-28;2010
"Many-fruited thyme-moss";"Plagiomnium affine";1;22.60665603;53.45878142;2010-04-28;2010
"Bugle";"Ajuga reptans";1;22.60637832;53.45873403;2010-04-28;2010
"Common Crane";"Grus grus";2;22.6058806;53.45881842;2010-04-28;2010
"Northern tree moss";"Climacium dendroides";1;22.60534307;53.45860322;2010-04-28;2010
"Northern Raven";"Corvus corax";1;22.60499405;53.45866458;2010-04-28;2010
"Bristly haircap moss";"Polytrichum piliferum";1;22.6079356;53.45752783;2010-04-28;2010
"Silvery bryum";"Bryum argenteum";1;22.60669917;53.45646448;2010-04-28;2010
"Pasqueflower";"Pulsatilla vulgaris";1;22.61;53.45;2010-04-28;2010
"White Stork";"Ciconia ciconia";3;22.63881678;53.48966397;2010-04-28;2010
"Northern Raven";"Corvus corax";1;22.58923487;53.37139787;2010-04-28;2010
"White Stork";"Ciconia ciconia";1;22.58923425;53.37139782;2010-04-28;2010
"European Roe Deer";"Capreolus capreolus";1;22.5982697;53.35259592;2010-04-28;2010
"Elk";"Alces alces";2;22.60676628;53.29481158;2010-04-28;2010
"Ruff";"Calidris pugnax";20;22.60728632;53.2861699;2010-04-28;2010
"Moschatel";"Adoxa moschatellina";1;22.59985115;53.31415565;2010-04-28;2010
"May Lily";"Maianthemum bifolium";1;22.5940217;53.31290005;2010-04-28;2010
"Herb-Paris";"Paris quadrifolia";1;22.59402177;53.31289998;2010-04-28;2010
"Yellow Anemone";"Anemone ranunculoides";1;22.59;53.31;2010-04-28;2010
"Sedge Warbler";"Acrocephalus schoenobaenus";1;22.58412937;53.31264093;2010-04-28;2010
"";"Hypnum cupressiforme";1;22.58116217;53.31195532;2010-04-28;2010
"Many-fruited thyme-moss";"Plagiomnium affine";1;22.56494147;53.30794112;2010-04-28;2010
"Fire moss";"Ceratodon purpureus";1;22.55661;53.30588292;2010-04-28;2010
"Common Crane";"Grus grus";2;22.55518223;53.30556823;2010-04-28;2010
"";"Orthotrichum diaphanum";1;22.55427417;53.30525295;2010-04-28;2010
"Elk";"Alces alces";1;22.55192515;53.30480267;2010-04-28;2010
"Western Marsh Harrier";"Circus aeruginosus";1;22.54928753;53.30416218;2010-04-28;2010
"Elk";"Alces alces";1;22.54765985;53.30375612;2010-04-28;2010
"Silvery bryum";"Bryum argenteum";1;22.54538927;53.30322972;2010-04-28;2010
"Lesser Whitethroat";"Sylvia curruca";1;22.54052003;53.30185932;2010-04-28;2010
"White-tailed Eagle";"Haliaeetus albicilla";1;22.56085802;53.3069045;2010-04-28;2010
"Isopyrum";"Isopyrum thalictroides";1;22.56750863;53.30838027;2010-04-28;2010
"";"Alchemilla spec.";1;22.5762804;53.30986462;2010-04-28;2010
"Red-stemmed feather moss";"Pleurozium schreberi";1;22.64811085;53.48222867;2010-04-27;2010
"Fire moss";"Ceratodon purpureus";1;22.65528213;53.47514805;2010-04-27;2010
"Northern Raven";"Corvus corax";2;22.57461505;53.37332153;2010-04-27;2010
"Common Crane";"Grus grus";1;22.5724828;53.37411157;2010-04-27;2010
"Red-stemmed feather moss";"Pleurozium schreberi";1;22.57249087;53.37411315;2010-04-27;2010
"";"Rhytidiadelphus squarrosus";1;22.5716805;53.37432208;2010-04-27;2010
"Broom fork-moss";"Dicranum scoparium";1;22.57156802;53.37434355;2010-04-27;2010
"Many-fruited thyme-moss";"Plagiomnium affine";1;22.57096207;53.37429077;2010-04-27;2010
"Slender beaked moss";"Kindbergia praelonga";1;22.57079067;53.37425742;2010-04-27;2010
"Common Chiffchaff";"Phylloscopus collybita";1;22.56720008;53.37339553;2010-04-27;2010
"Western Marsh Harrier";"Circus aeruginosus";1;22.56449998;53.372349;2010-04-27;2010
"Northern Raven";"Corvus corax";2;22.56442593;53.37233827;2010-04-27;2010
"Bluethroat";"Luscinia svecica";3;22.55904425;53.37071643;2010-04-27;2010
"Common Crane";"Grus grus";2;22.55057905;53.36794952;2010-04-27;2010
"";"Cladonia portentosa";1;22.54349867;53.36554977;2010-04-27;2010
"Juniper haircap moss";"Polytrichum juniperinum";1;22.54345672;53.36555053;2010-04-27;2010
"Yellowhammer";"Emberiza citrinella";1;22.54308445;53.36547895;2010-04-27;2010
"Elk";"Alces alces";1;22.5421339;53.3664374;2010-04-27;2010
"White-tailed Eagle";"Haliaeetus albicilla";1;22.5422144;53.36631905;2010-04-27;2010
"Northern tree moss";"Climacium dendroides";1;22.54244017;53.36525788;2010-04-27;2010
"Western Marsh Harrier";"Circus aeruginosus";1;22.54025677;53.36390072;2010-04-27;2010
"Fire moss";"Ceratodon purpureus";1;22.54032072;53.36387615;2010-04-27;2010
"";"Rhynchostegium confertum";1;22.54221765;53.36511222;2010-04-27;2010
"Elk";"Alces alces";1;22.56140677;53.37142788;2010-04-27;2010
"Silvery bryum";"Bryum argenteum";1;22.64658357;53.4820781;2010-04-26;2010
"White Stork";"Ciconia ciconia";6;22.65425547;53.48139182;2010-04-26;2010
"";"Lophocolea heterophylla";1;22.65547915;53.47703033;2010-04-26;2010
"";"Rhytidiadelphus squarrosus";1;22.64818255;53.48215823;2010-04-26;2010
"Swan's-neck leafy moss";"Mnium hornum";1;22.64835388;53.48273787;2010-04-26;2010
"White Stork";"Ciconia ciconia";2;22.64659622;53.48515577;2010-04-26;2010
"Common orange lichen";"Xanthoria parietina";1;22.64603837;53.48563785;2010-04-26;2010
"Green-veined White";"Pieris napi";1;22.6457329;53.48590917;2010-04-26;2010
"Green-veined White";"Pieris napi";2;22.64557535;53.48841575;2010-04-26;2010
"Buff-tailed/White-tailed Bumblebee s.l.";"Bombus terrestris/lucorum/magnus/cryptarum";1;22.64485945;53.48695193;2010-04-26;2010
"Capillary bryum";"Bryum capillare";1;22.64282852;53.48991523;2010-04-26;2010
"White Stork";"Ciconia ciconia";13;22.63659893;53.48843652;2010-04-26;2010
"Elk";"Alces alces";1;22.62869389;53.48335056;2010-04-26;2010
"White Stork";"Ciconia ciconia";1;22.62753737;53.48526035;2010-04-26;2010
"Green-veined White";"Pieris napi";1;22.6258585;53.48630393;2010-04-26;2010
"Elk";"Alces alces";1;22.63785313;53.48312915;2010-04-26;2010
"Dotted bush lichen";"Ramalina farinacea";1;22.64689615;53.48278532;2010-04-25;2010
"";"Hypnum cupressiforme";1;22.64595983;53.48271007;2010-04-25;2010
"Common large wetland moss";"Calliergonella cuspidata";1;22.64581402;53.48289352;2010-04-25;2010
"Capillary bryum";"Bryum capillare";1;22.64512902;53.48314945;2010-04-25;2010
"Common orange lichen";"Xanthoria parietina";1;22.6467814;53.48281685;2010-04-25;2010
"Elk";"Alces alces";1;22.64751487;53.4590066;2010-04-25;2010
"European Roe Deer";"Capreolus capreolus";1;22.58708245;53.41561953;2010-04-25;2010
"White Stork";"Ciconia ciconia";3;22.59130557;53.36950462;2010-04-25;2010
"Western Marsh Harrier";"Circus aeruginosus";1;22.6154057;53.27853827;2010-04-25;2010
"Trumpet lichen";"Cladonia fimbriata";1;22.6170439;53.27401908;2010-04-25;2010
"";"Rhynchostegium confertum";1;22.61715803;53.27399348;2010-04-25;2010
"Pine Marten";"Martes martes";1;22.5;53.1;2010-04-25;2010
"Eurasian Nuthatch";"Sitta europaea";1;16.9846057892;51.0862994758;2010-04-07;2010
"Common Redstart";"Phoenicurus phoenicurus";1;22.9954576492;53.8555169546;2007-05-24;2007
"Common Cottongrass";"Eriophorum angustifolium";1;22.6079750061;53.286768763;2007-05-23;2007
"Bogbean";"Menyanthes trifoliata";1;22.6079750061;53.286768763;2007-05-23;2007
"Elk";"Alces alces";1;22.6079750061;53.286768763;2007-05-23;2007
"Sedge Warbler";"Acrocephalus schoenobaenus";1;22.5089263916;53.4300065905;2007-05-23;2007
"Eurasian Beaver";"Castor fiber";1;15.95;53.05;2007-05-26;2007
"Slow Worm";"Anguis fragilis";1;15.9571909904;53.0545508379;2007-05-26;2007
"White Stork";"Ciconia ciconia";3;23.83;52.9;2002-05-15;2002
"Aquatic Warbler";"Acrocephalus paludicola";3;22.59;53.65;2002-05-11;2002
"Aquatic Warbler";"Acrocephalus paludicola";1;22.761182785;53.5256424712;2004-07-12;2004
"Middle Spotted Woodpecker";"Dendrocoptes medius";1;23.8669395447;52.7438299937;2004-07-10;2004
"White-backed Woodpecker";"Dendrocopos leucotos";1;23.8669395447;52.7438299937;2004-07-10;2004
"Eurasian Wryneck";"Jynx torquilla";1;23.8474076986;52.7016551942;2004-07-09;2004
"Middle Spotted Woodpecker";"Dendrocoptes medius";1;23.8274145126;52.7272619479;2004-07-08;2004
"Collared Flycatcher";"Ficedula albicollis";1;23.8274145126;52.7272619479;2004-07-08;2004
"River Warbler";"Locustella fluviatilis";1;23.8487005234;52.7001546668;2004-07-08;2004
"Sedge Warbler";"Acrocephalus schoenobaenus";1;23.12;53.19;2003-06-06;2003
"Great Reed Warbler";"Acrocephalus arundinaceus";10;23.12;53.19;2003-06-06;2003
"Common Reed Bunting";"Emberiza schoeniclus";5;23.12;53.19;2002-10-08;2002
"River Warbler";"Locustella fluviatilis";3;23.84;52.71;2003-06-07;2003
"Hawfinch";"Coccothraustes coccothraustes";7;23.84;52.71;2003-06-07;2003
"Thrush Nightingale";"Luscinia luscinia";5;23.84;52.71;2003-06-07;2003
"Collared Flycatcher";"Ficedula albicollis";1;23.84;52.71;2003-06-07;2003
"European Goldfinch";"Carduelis carduelis";5;23.84;52.71;2003-06-06;2003
"White Stork";"Ciconia ciconia";12;23.84;52.71;2002-05-18;2002
"White Stork";"Ciconia ciconia";10;23.84;52.71;2002-05-17;2002
"Hawfinch";"Coccothraustes coccothraustes";6;23.84;52.71;2002-05-17;2002
"Collared Flycatcher";"Ficedula albicollis";1;23.84;52.71;2002-05-17;2002
"White Stork";"Ciconia ciconia";10;23.84;52.71;2002-05-16;2002
"Collared Flycatcher";"Ficedula albicollis";5;23.84;52.71;2002-05-16;2002
"Collared Flycatcher";"Ficedula albicollis";3;23.84;52.71;2002-05-15;2002
"White-backed Woodpecker";"Dendrocopos leucotos";2;23.84;52.71;2002-05-15;2002
"White Stork";"Ciconia ciconia";15;23.84;52.71;2002-05-15;2002
"Eurasian Wryneck";"Jynx torquilla";1;23.84;52.71;2002-05-15;2002
"Hawfinch";"Coccothraustes coccothraustes";3;23.84;52.71;2002-05-14;2002
"Eurasian Wryneck";"Jynx torquilla";1;23.84;52.71;2002-05-14;2002
"White Stork";"Ciconia ciconia";6;23.84;52.71;2002-05-14;2002
"Middle Spotted Woodpecker";"Dendrocoptes medius";1;23.84;52.71;2002-05-14;2002
"Collared Flycatcher";"Ficedula albicollis";1;23.84;52.71;2002-05-14;2002
"Garganey";"Spatula querquedula";1;22.5923538208;53.2199102941;2009-05-07;2009
"White-winged Tern";"Chlidonias leucopterus";100;22.5654029846;53.2235074936;2008-05-02;2008
"Common Crane";"Grus grus";50;22.5978469849;53.286076066;2008-05-02;2008
"Aquatic Warbler";"Acrocephalus paludicola";6;22.605561018;53.2858130948;2008-05-02;2008
"Lesser Spotted Eagle";"Clanga pomarina";4;22.8632354736;53.5404094024;2008-05-02;2008
"Montagu's Harrier";"Circus pygargus";2;22.4547028542;53.2909375351;2008-05-01;2008
"White-winged Tern";"Chlidonias leucopterus";101;22.5342464447;53.4284195691;2008-05-01;2008
"Black Kite";"Milvus migrans";1;22.5068235397;53.4294040066;2008-05-01;2008
"Elk";"Alces alces";1;22.5835990906;53.4890668926;2008-05-01;2008
"Elk";"Alces alces";4;22.5767326355;53.2727073816;2008-05-01;2008
"Elk";"Alces alces";1;22.5861740112;53.2962601452;2008-05-01;2008
"Aquatic Warbler";"Acrocephalus paludicola";3;22.6057702303;53.2858515785;2008-05-01;2008
"Bluethroat";"Luscinia svecica";1;22.5652313232;53.3829060114;2008-04-30;2008
"Greater Spotted Eagle";"Clanga clanga";1;22.7318072319;53.4944030808;2008-04-30;2008
"Whiskered Tern";"Chlidonias hybrida";100;23.8831615448;52.9104807942;2008-04-30;2008
"White-winged Tern";"Chlidonias leucopterus";10;23.8831615448;52.9104807942;2008-04-30;2008
"White-tailed Eagle";"Haliaeetus albicilla";1;23.8831615448;52.9104807942;2008-04-30;2008
"Lesser Spotted Eagle";"Clanga pomarina";1;23.8893413544;52.8981339807;2008-04-30;2008
"Eurasian Penduline Tit";"Remiz pendulinus";1;23.85;52.85;2008-04-30;2008
"Citrine Wagtail";"Motacilla citreola";1;23.8853502274;52.8994542483;2008-04-30;2008
"Wild Boar";"Sus scrofa";4;23.8236808777;52.7012503778;2008-04-29;2008
"Eurasian Three-toed Woodpecker";"Picoides tridactylus";1;23.8236808777;52.7012503778;2008-04-29;2008
"Hazel Grouse";"Tetrastes bonasia";1;23.85;52.65;2008-04-29;2008
"White-backed Woodpecker";"Dendrocopos leucotos";1;23.8900279999;52.6901446355;2008-04-29;2008
"Grey-headed Woodpecker";"Picus canus";1;23.8;52.7;2008-04-29;2008
"Collared Flycatcher";"Ficedula albicollis";10;23.8428211212;52.719762335;2008-04-29;2008
"Eurasian Golden Oriole";"Oriolus oriolus";2;23.8428211212;52.719762335;2008-04-29;2008
"Eurasian Wryneck";"Jynx torquilla";2;23.8428211212;52.719762335;2008-04-29;2008
"Lesser Spotted Woodpecker";"Dryobates minor";1;23.8428211212;52.719762335;2008-04-29;2008
"Grey-headed Woodpecker";"Picus canus";2;23.8;52.7;2008-04-29;2008
"Middle Spotted Woodpecker";"Dendrocoptes medius";2;23.8428211212;52.719762335;2008-04-29;2008
"White-backed Woodpecker";"Dendrocopos leucotos";1;23.8428211212;52.719762335;2008-04-29;2008
"White-headed Long-tailed Tit";"Aegithalos caudatus caudatus";1;23.8901138306;52.6899625507;2008-04-28;2008
"Middle Spotted Woodpecker";"Dendrocoptes medius";1;23.8912296295;52.6902746957;2008-04-28;2008
"Eurasian Wryneck";"Jynx torquilla";1;23.8912296295;52.6902746957;2008-04-28;2008
"Hazel Grouse";"Tetrastes bonasia";3;23.85;52.65;2008-04-28;2008
"Eurasian Penduline Tit";"Remiz pendulinus";1;23.8;52.9;2008-04-28;2008
"Whiskered Tern";"Chlidonias hybrida";50;23.8836336136;52.9027547411;2008-04-28;2008
"White-winged Tern";"Chlidonias leucopterus";100;23.8836336136;52.9027547411;2008-04-28;2008
"Eurasian Penduline Tit";"Remiz pendulinus";1;23.85;52.9;2008-04-28;2008
"Lesser Spotted Eagle";"Clanga pomarina";2;23.8905000687;52.8997260631;2008-04-28;2008
"Wolf";"Canis lupus";6;23.75;52.75;2008-04-27;2008
"Wild Boar";"Sus scrofa";1;23.7841129303;52.7446578852;2008-04-27;2008
"Red Fox";"Vulpes vulpes";1;23.65;52.7;2008-04-27;2008
"Collared Flycatcher";"Ficedula albicollis";2;23.6748504639;52.7011463558;2008-04-27;2008
"Eurasian Golden Oriole";"Oriolus oriolus";1;23.6748504639;52.7011463558;2008-04-27;2008
"Eurasian Wryneck";"Jynx torquilla";2;23.6748504639;52.7011463558;2008-04-27;2008
"Collared Flycatcher";"Ficedula albicollis";10;23.8226509094;52.7010423337;2008-04-27;2008
"Grey-headed Woodpecker";"Picus canus";1;23.8;52.7;2008-04-27;2008
"Middle Spotted Woodpecker";"Dendrocoptes medius";5;23.8226509094;52.7010423337;2008-04-27;2008
"White-backed Woodpecker";"Dendrocopos leucotos";1;23.8226509094;52.7010423337;2008-04-27;2008
"White-winged Tern";"Chlidonias leucopterus";1;22.4648416042;53.3171369686;2007-05-15;2007
"Elk";"Alces alces";1;22.600851059;53.3142559139;2007-05-14;2007
"Moschatel";"Adoxa moschatellina";1;22.600851059;53.3142559139;2007-05-14;2007
"Bog Arum";"Calla palustris";1;22.600851059;53.3142559139;2007-05-14;2007
"Field Scabious";"Knautia arvensis";1;22.600851059;53.3142559139;2007-05-14;2007
"Bogbean";"Menyanthes trifoliata";1;22.600851059;53.3142559139;2007-05-14;2007
"Carnation Sedge";"Carex panicea";1;22.600851059;53.3142559139;2007-05-14;2007
"Water Avens";"Geum rivale";1;22.6;53.31;2007-05-14;2007
"Cabbage Thistle";"Cirsium oleraceum";1;22.600851059;53.3142559139;2007-05-14;2007
"Cowslip";"Primula veris";1;22.6;53.31;2007-05-14;2007
"Herb-Paris";"Paris quadrifolia";1;22.600851059;53.3142559139;2007-05-14;2007
"Wood Anemone";"Anemone nemorosa";1;22.600851059;53.3142559139;2007-05-14;2007
"Aquatic Warbler";"Acrocephalus paludicola";1;22.5988984108;53.3140443939;2007-05-14;2007
"Bogbean";"Menyanthes trifoliata";1;22.6358699799;53.4841960774;2007-05-13;2007
"Dogwood";"Cornus sanguinea";1;22.6358699799;53.4841960774;2007-05-13;2007
"Water Violet";"Hottonia palustris";1;22.6358699799;53.4841960774;2007-05-13;2007
"Water Avens";"Geum rivale";1;22.63;53.48;2007-05-13;2007
"Pygmyflower rock jasmine";"Androsace septentrionalis";1;22.6484441757;53.4781115607;2007-05-13;2007
"Alternate-leaved Golden-saxifrage";"Chrysosplenium alternifolium";1;22.6502895355;53.4830149961;2007-05-13;2007
"Fingered Sedge";"Carex digitata";1;22.65;53.48;2007-05-13;2007
"Wood-sorrel";"Oxalis acetosella";1;22.6502895355;53.4830149961;2007-05-13;2007
"May Lily";"Maianthemum bifolium";1;22.6502895355;53.4830149961;2007-05-13;2007
"Solomon's-seal";"Polygonatum multiflorum";1;22.6502895355;53.4830149961;2007-05-13;2007
"Lily-of-the-valley";"Convallaria majalis";1;22.6502895355;53.4830149961;2007-05-13;2007
"Martagon Lily";"Lilium martagon";1;22.6502895355;53.4830149961;2007-05-13;2007
"Liverleaf";"Hepatica nobilis";1;22.6502895355;53.4830149961;2007-05-13;2007
"Wood Anemone";"Anemone nemorosa";1;22.6502895355;53.4830149961;2007-05-13;2007
"Alpine Accentor";"Prunella collaris";1;19.9576950073;49.2682526015;2009-08-03;2009
"Fieldfare";"Turdus pilaris";1;19.9566650391;49.3018448197;2009-08-02;2009
"Lesser Spotted Eagle";"Clanga pomarina";7;22.6126098633;49.2462933246;2009-08-02;2009
"White-backed Woodpecker";"Dendrocopos leucotos";1;23.8478851318;52.7009383112;2009-07-30;2009
"Eurasian Three-toed Woodpecker";"Picoides tridactylus";2;23.8478851318;52.7009383112;2009-07-29;2009
"Lesser Spotted Woodpecker";"Dryobates minor";1;23.8478851318;52.7009383112;2009-07-29;2009
"Wolf";"Canis lupus";2;23.75;52.75;2009-07-28;2009
"Lesser Spotted Eagle";"Clanga pomarina";1;23.8485717773;52.901033339;2009-07-28;2009
"Greylag Goose";"Anser anser";1;23.8485717773;52.901033339;2009-07-28;2009
"Yellowhammer";"Emberiza citrinella";1;23.8485717773;52.901033339;2009-07-28;2009
"Whiskered Tern";"Chlidonias hybrida";1;23.8485717773;52.901033339;2009-07-28;2009
"White-tailed Eagle";"Haliaeetus albicilla";2;23.8485717773;52.901033339;2009-07-28;2009
"Thrush Nightingale";"Luscinia luscinia";1;23.8235092163;52.7007302656;2009-07-28;2009
"Eurasian Golden Oriole";"Oriolus oriolus";1;23.8235092163;52.7007302656;2009-07-28;2009
"European Serin";"Serinus serinus";1;23.8235092163;52.7007302656;2009-07-28;2009
"Red Crossbill";"Loxia curvirostra";1;23.8235092163;52.7007302656;2009-07-28;2009
"Eurasian Three-toed Woodpecker";"Picoides tridactylus";2;23.8235092163;52.7007302656;2009-07-28;2009
"Grey-headed Woodpecker";"Picus canus";1;23.8;52.7;2009-07-28;2009
"Western Yellow Wagtail";"Motacilla flava";1;22.577419281;53.4468643953;2009-07-26;2009
"Mute Swan";"Cygnus olor";1;22.577419281;53.4468643953;2009-07-26;2009
"Sedge Warbler";"Acrocephalus schoenobaenus";1;22.577419281;53.4468643953;2009-07-26;2009
"Red-backed Shrike";"Lanius collurio";1;22.577419281;53.4468643953;2009-07-26;2009
"Great Grey Shrike";"Lanius excubitor";1;22.577419281;53.4468643953;2009-07-26;2009
"Aquatic Warbler";"Acrocephalus paludicola";10;22.577419281;53.4468643953;2009-07-26;2009
"Common Crane";"Grus grus";84;22.577419281;53.4468643953;2009-07-26;2009
"Collared Flycatcher";"Ficedula albicollis";1;23.7462615967;52.8114780387;2009-05-17;2009
"Red-backed Shrike";"Lanius collurio";1;23.7462615967;52.8114780387;2009-05-17;2009
"White-backed Woodpecker";"Dendrocopos leucotos";1;23.7462615967;52.8114780387;2009-05-17;2009
"Eurasian Wryneck";"Jynx torquilla";1;23.7462615967;52.8114780387;2009-05-17;2009
"Middle Spotted Woodpecker";"Dendrocoptes medius";1;23.7462615967;52.8114780387;2009-05-17;2009
"Eurasian Beaver";"Castor fiber";2;23.75;52.8;2009-05-17;2009
"Common Tree Frog";"Hyla arborea";1;23.75;52.8;2009-05-17;2009
"Elk";"Alces alces";10;22.5576782227;53.4046199285;2009-05-12;2009
"Ortolan Bunting";"Emberiza hortulana";1;22.4639511108;53.2760948526;2009-05-12;2009
"Yellowhammer";"Emberiza citrinella";1;22.4639511108;53.2760948526;2009-05-12;2009
"Common Rosefinch";"Carpodacus erythrinus";1;22.4639511108;53.2760948526;2009-05-12;2009
"Western Yellow Wagtail";"Motacilla flava";1;22.6517486572;53.4941733066;2009-05-12;2009
"Barn Swallow";"Hirundo rustica";1;22.7691650391;53.2064438086;2009-05-13;2009
"White-winged Tern";"Chlidonias leucopterus";1;22.5811958313;53.218162974;2009-05-13;2009
"Greater Spotted Eagle";"Clanga clanga";1;22.7178382874;53.5302581158;2009-05-09;2009
"Western Marsh Harrier";"Circus aeruginosus";1;22.4666976929;53.3156980679;2009-05-13;2009
"White Stork";"Ciconia ciconia";1;22.409362793;53.1982179187;2009-05-10;2009
"Red-necked Grebe";"Podiceps grisegena";2;22.409362793;53.1982179187;2009-05-10;2009
"Montagu's Harrier";"Circus pygargus";2;22.4547028542;53.2909375351;2008-05-01;2008
"White-winged Tern";"Chlidonias leucopterus";101;22.5342464447;53.4284195691;2008-05-01;2008
"Black Kite";"Milvus migrans";1;22.5068235397;53.4294040066;2008-05-01;2008
"Elk";"Alces alces";1;22.5835990906;53.4890668926;2008-05-01;2008
"White-winged Tern";"Chlidonias leucopterus";100;22.5654029846;53.2235074936;2008-05-02;2008
"Common Crane";"Grus grus";50;22.5978469849;53.286076066;2008-05-02;2008
"Aquatic Warbler";"Acrocephalus paludicola";6;22.605561018;53.2858130948;2008-05-02;2008
"Lesser Spotted Eagle";"Clanga pomarina";4;22.8632354736;53.5404094024;2008-05-02;2008
"Elk";"Alces alces";4;22.5767326355;53.2727073816;2008-05-01;2008
"Elk";"Alces alces";1;22.5861740112;53.2962601452;2008-05-01;2008
"Aquatic Warbler";"Acrocephalus paludicola";3;22.6057702303;53.2858515785;2008-05-01;2008
"Bluethroat";"Luscinia svecica";1;22.5652313232;53.3829060114;2008-04-30;2008
"Greater Spotted Eagle";"Clanga clanga";1;22.7318072319;53.4944030808;2008-04-30;2008
"Whiskered Tern";"Chlidonias hybrida";100;23.8831615448;52.9104807942;2008-04-30;2008
"White-winged Tern";"Chlidonias leucopterus";10;23.8831615448;52.9104807942;2008-04-30;2008
"White-tailed Eagle";"Haliaeetus albicilla";1;23.8831615448;52.9104807942;2008-04-30;2008
"Lesser Spotted Eagle";"Clanga pomarina";1;23.8893413544;52.8981339807;2008-04-30;2008
"Eurasian Penduline Tit";"Remiz pendulinus";1;23.85;52.85;2008-04-30;2008
"Citrine Wagtail";"Motacilla citreola";1;23.8853502274;52.8994542483;2008-04-30;2008
"Wild Boar";"Sus scrofa";4;23.8236808777;52.7012503778;2008-04-29;2008
"Eurasian Three-toed Woodpecker";"Picoides tridactylus";1;23.8236808777;52.7012503778;2008-04-29;2008
"Hazel Grouse";"Tetrastes bonasia";1;23.85;52.65;2008-04-29;2008
"White-backed Woodpecker";"Dendrocopos leucotos";1;23.8900279999;52.6901446355;2008-04-29;2008
"Grey-headed Woodpecker";"Picus canus";1;23.8;52.7;2008-04-29;2008
"Collared Flycatcher";"Ficedula albicollis";10;23.8428211212;52.719762335;2008-04-29;2008
"Eurasian Golden Oriole";"Oriolus oriolus";2;23.8428211212;52.719762335;2008-04-29;2008
"Eurasian Wryneck";"Jynx torquilla";2;23.8428211212;52.719762335;2008-04-29;2008
"Lesser Spotted Woodpecker";"Dryobates minor";1;23.8428211212;52.719762335;2008-04-29;2008
"Grey-headed Woodpecker";"Picus canus";2;23.8;52.7;2008-04-29;2008
"Middle Spotted Woodpecker";"Dendrocoptes medius";2;23.8428211212;52.719762335;2008-04-29;2008
"White-backed Woodpecker";"Dendrocopos leucotos";1;23.8428211212;52.719762335;2008-04-29;2008
"White-headed Long-tailed Tit";"Aegithalos caudatus caudatus";1;23.8901138306;52.6899625507;2008-04-28;2008
